structure,qh-G(T)_SPC
00-lpdoh2,-1324.979372
01-rxt,-1886.126157
03-c1,-1886.120331
05-c2,-1886.169783
09-c3,-1710.252953
11-c4,-1710.227459
13-t1,-1886.122615
15-t2,-1886.127013
19-t3,-1710.222805
21-t4,-1710.236097
70-c2dim,-1633.9120535
71-c2-naphboh2,-2447.320472
72-hc1,-2195.059693
73-hc1-boh3,-2447.328731
76-hc2,-2195.061176
78-hc3,-2195.061524
80-lpd0boh3,-1425.702784
81-hc4,-1942.790057
83-lpd0,-1173.415565
99-l2pd2oh4,-2649.958744
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naphh-c,-385.286152
naphh-t,-385.286152
binaph,-769.393717
