ligand_name,Naph-T/C2 (1.0 eq.),Naph-T/C2 (3.5 eq.),Naph-T/C2 (5.0 eq.),Barrier Tuning to Parity Prediction (simplified),Barrier Tuning to Parity Prediction (full)
3a-pph3,3.8 / 10.0,6.5 / 10.0,7.1 / 10.0,-0.7049076213616317,-0.705326656
3b-potol3,13.3 / 10.0,18.1 / 10.0,18.9 / 10.0,0.4468535481919509,0.436352063
3c-pipr3,1.5 / 9.8,5.0 / 9.8,7.1 / 9.8,-0.12164173553369698,-0.12160359
3d-pcpt3,0.8 / 10.0,2.0 / 9.9,2.4 / 9.9,0.23780564707400798,0.237290928
3e-pcy3,0.1 / 10.0,0.4 / 10.0,0.5 / 10.0,0.7295653065259584,0.778474339
3f-pcy2tbu,0.3 / 9.9,1.0 / 9.8,1.4 / 9.8,0.7681706496613966,0.768171311
3g-ptbu2cy,2.8 / 10.0,9.7 / 10.0,13.8 / 10.0,0.4094100745680905,0.409421021
3h-ptbu3,54.0 / 10.0,95.1 / 4.9,96.3 / 3.7,-0.2295423294973188,-0.229600821
3i-pad3,62.8 / 10.0,91.5 / 8.5,92.2 / 7.8,-0.3327482041099935,-0.347099945
3j-iprjohnphos,93.5 / 5.4,99.0 / 1.0,99.2 / 0.8,-1.6215314283365063,-1.61725928
3k-phjohnphos,6.1 / 10.0,6.5 / 9.9,6.6 / 9.8,0.3518166181193516,0.359488189
3l-phdavephos,4.7 / 9.5,14.9 / 9.4,20.1 / 9.4,-0.17422777187922528,-0.176328855
3m-cyjohnphos,27.5 / 10.0,44.5 / 10.0,48.5 / 10.0,-0.4920864854741032,-0.519468971
3n-cymephos,20.8 / 10.0,42.7 / 10.0,50.2 / 10.0,-0.3510745622697471,-0.412277525
3o-davephos,1.1 / 9.9,3.7 / 9.9,5.3 / 9.9,0.5782401497365304,0.578988746
3p-sphos,14.1 / 10.0,41.9 / 10.0,55.4 / 10.0,-0.353341685589297,-0.391908917
3q-ruphos,0.3 / 10.0,1.2 / 10.0,1.7 / 10.0,0.73765054631695,0.741247146
3r-xphos,0.4 / 10.0,1.5 / 10.0,2.1 / 10.0,0.7062839088623439,0.706376385
3s-brettphos,67.7 / 10.0,95.9 / 4.1,96.8 / 3.2,-1.2441606147893987,-1.386091557
3t-tbujohnphos,48.3 / 10.0,93.6 / 6.4,94.9 / 5.1,-0.2561534428889586,-0.254818996
3u-tbumephos,30.1 / 10.0,63.6 / 10.0,73.0 / 10.0,-0.12628039090605836,-0.122246337
3v-tbudavephos,13.0 / 10.0,42.9 / 10.0,59.3 / 10.0,0.24746458940851768,0.25103535
3w-tbuxphos,78.3 / 2.5,98.4 / 1.6,98.5 / 1.5,-0.6701299576280968,-0.668535183
3x-tbubrettphos,0.0 / 9.6,0.0 / 9.3,0.1 / 9.2,1.8652559377390001,2.571079511
3y-me4tbuxphos,0.0 / 10.0,0.0 / 10.0,0.0 / 10.0,1.6399184339689032,2.55621755
3z-adjohnphos,1.6 / 10.0,4.0 / 10.0,4.9 / 10.0,0.6230916112315086,0.620591064
3aa-adbrettphos,84.7 / 4.3,99.1 / 0.9,99.4 / 0.6,-1.298772160770027,-1.286150962
